"","Education","Marital_Status","Income","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response","Kids","Relationship","Family_Size","Family_size","Age","Days_is_client","MntTotal","NumAllPurchases","AverageCheck","ShareDealsPurchases","TotalAcceptedCmp","ActiveDays"
"2","Graduation","Single",58138,58,635,88,546,172,88,88,3,8,10,4,7,"False","False","False","False","False","False","True",0,0,0,1,67,734215,1617,22,73.5,13.6,1,734157
"3","Graduation","Single",46344,38,11,1,6,2,1,6,2,1,1,2,5,"False","False","False","False","False","False","False",2,0,0,3,70,732938,27,4,6.8,50,0,732900
"4","Graduation","Together",71613,26,426,49,127,111,21,42,1,8,2,10,4,"False","False","False","False","False","False","False",0,1,0,2,59,728037,776,20,38.8,5,0,728011
"5","Graduation","Together",26646,26,11,4,20,10,3,5,2,2,0,4,6,"False","False","False","False","False","False","False",1,1,0,3,40,732236,53,6,8.8,33.3,0,732210
"6","PhD","Married",58293,94,173,43,118,46,27,15,5,5,3,6,5,"False","False","False","False","False","False","False",1,1,0,3,43,728980,422,14,30.1,35.7,0,728886
"7","Master","Together",62513,16,520,42,98,0,42,14,2,6,4,10,6,"False","False","False","False","False","False","False",1,1,0,3,57,732389,716,20,35.8,10,0,732373
"8","Graduation","Divorced",55635,34,235,65,164,50,49,27,4,7,3,7,6,"False","False","False","False","False","False","False",1,0,0,2,53,730867,590,17,34.7,23.5,0,730833
"9","PhD","Married",33454,32,76,10,56,3,1,23,2,4,0,4,8,"False","False","False","False","False","False","False",1,1,0,3,39,732877,169,8,21.1,25,0,732845
"10","PhD","Together",30351,19,14,0,24,3,3,2,1,3,0,2,9,"False","False","False","False","False","False","True",1,1,0,3,50,733577,46,5,9.2,20,1,733558
"11","PhD","Together",5648,68,28,0,6,1,1,13,1,1,0,0,20,"True","False","False","False","False","False","False",2,1,0,4,74,731112,49,1,49,100,1,731044
"12","Graduation","Married",51381.5,11,5,5,6,0,2,1,1,1,0,2,7,"False","False","False","False","False","False","False",1,1,0,3,41,730137,19,3,6.3,33.3,0,730126
"13","Basic","Married",7500,59,6,16,11,11,1,16,1,2,0,3,8,"False","False","False","False","False","False","False",0,1,0,2,48,730867,61,5,12.2,20,0,730808
"14","Graduation","Divorced",63033,82,194,61,480,225,112,30,1,3,4,8,2,"False","False","False","False","False","False","False",0,0,0,1,65,730137,1102,15,73.5,6.7,0,730055
"15","Master","Divorced",59354,53,233,2,53,3,5,14,3,6,1,5,6,"False","False","False","False","False","False","False",2,0,0,3,72,730137,310,12,25.8,25,0,730084
"16","Graduation","Married",17323,38,3,14,17,6,1,5,1,1,0,3,8,"False","False","False","False","False","False","False",0,1,0,2,37,731994,46,4,11.5,25,0,731956
"17","PhD","Single",82800,23,1006,22,115,59,68,45,1,7,6,12,3,"False","False","True","True","False","False","True",0,0,0,1,78,726849,1315,25,52.6,4,3,726826
