"","Education","Marital_Status","Income","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response","...30","Kids","Relationship","Family_Size","Family_size","Age","Days_is_client","MntTotal","NumAllPurchases","AverageCheck","ShareDealsPurchases","TotalAcceptedCmp","ActiveDays"
"1","Graduation","Single",58138,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,NA,0,0,0,1,67,734215,1617,22,73.5,13.6,1,734157
"2","Graduation","Single",46344,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,NA,2,0,0,3,70,732938,27,4,6.8,50,0,732900
"3","Graduation","Together",71613,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,NA,0,1,0,2,59,728037,776,20,38.8,5,0,728011
"4","Graduation","Together",26646,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,NA,1,1,0,3,40,732236,53,6,8.8,33.3,0,732210
"5","PhD","Married",58293,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,NA,1,1,0,3,43,728980,422,14,30.1,35.7,0,728886
"6","Master","Together",62513,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,NA,1,1,0,3,57,732389,716,20,35.8,10,0,732373
"7","Graduation","Divorced",55635,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,NA,1,0,0,2,53,730867,590,17,34.7,23.5,0,730833
"8","PhD","Married",33454,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,NA,1,1,0,3,39,732877,169,8,21.1,25,0,732845
"9","PhD","Together",30351,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,NA,1,1,0,3,50,733577,46,5,9.2,20,1,733558
"10","PhD","Together",5648,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,NA,2,1,0,4,74,731112,49,1,49,100,1,731044
"11","Graduation","Married",51381.5,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,NA,1,1,0,3,41,730137,19,3,6.3,33.3,0,730126
"12","Basic","Married",7500,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,NA,0,1,0,2,48,730867,61,5,12.2,20,0,730808
